City_ID,City,Lat,Lng,Max Temp,Current Description,Humidity,Cloudiness,Wind Speed,Country
287,Baculin,7.4525,126.5842,77.77,overcast clouds,82,92,4.36,PH
288,Khatanga,71.9667,102.5,26.51,light snow,95,100,15.88,RU
289,Sisimiut,66.9395,-53.6735,31.8,overcast clouds,83,100,10.13,GL
290,Gaur,26.7667,85.2667,76.86,broken clouds,81,71,3.8,NP
291,Victoria,22.2855,114.1577,80.33,clear sky,80,9,11.99,HK
292,Katherine,-14.4667,132.2667,79.12,broken clouds,83,51,0.0,AU
293,San Jeronimo,-11.9472,-75.2829,60.64,overcast clouds,51,97,11.52,PE
294,Madingou,-4.1536,13.55,80.19,light rain,71,94,4.16,CG
295,Saint-Georges,12.0564,-61.7485,87.48,few clouds,66,20,24.16,GD
296,Antofagasta,-23.65,-70.4,63.68,few clouds,60,14,6.51,CL
297,Hobyo,5.3505,48.5268,77.86,broken clouds,81,64,16.55,SO
298,Egvekinot,66.3167,-179.1667,20.95,overcast clouds,81,100,3.71,RU
299,Alice Springs,-23.7,133.8833,63.95,overcast clouds,27,100,10.36,AU
300,Kvareli,41.9524,45.8151,63.14,overcast clouds,74,88,1.72,GE
301,Asuncion Nochixtlan,17.4667,-97.2333,66.54,overcast clouds,56,99,10.27,MX
302,Wanaka,-44.7,169.15,37.53,scattered clouds,81,39,4.63,NZ
303,Mushie,-3.0167,16.9,73.45,light rain,91,100,3.87,CD
304,Severo-Kurilsk,50.6789,156.125,42.49,scattered clouds,67,30,7.54,RU
305,Kibaya,-5.3,36.5667,61.88,few clouds,64,20,9.35,TZ
306,Tianpeng,30.9866,103.9393,57.67,heavy intensity rain,91,100,2.33,CN
307,Manturovo,58.3353,44.7619,47.28,few clouds,88,21,11.03,RU
308,Nogales,31.3086,-110.9422,77.32,clear sky,49,0,3.85,MX
309,Oussouye,12.485,-16.5469,89.78,light rain,79,7,5.91,SN
310,Siguiri,11.6667,-9.5,77.86,light rain,80,44,2.15,GN
311,Peterhead,57.5058,-1.7981,49.44,overcast clouds,76,96,12.5,GB
312,Parlakimidi,18.7667,84.0833,76.37,overcast clouds,92,100,2.17,IN
313,Camocim,-2.9022,-40.8411,86.27,overcast clouds,61,90,16.04,BR
314,Richards Bay,-28.783,32.0377,69.01,overcast clouds,70,100,9.8,ZA
315,Artigas,-30.4,-56.4667,72.27,clear sky,41,0,12.68,UY
316,Lubango,-14.9172,13.4925,64.31,clear sky,63,6,4.72,AO
317,Guerrero Negro,27.9769,-114.0611,76.87,clear sky,63,1,11.97,MX
318,Prado,-17.3411,-39.2208,80.29,clear sky,71,6,16.22,BR
319,Harper,4.375,-7.7169,76.51,broken clouds,89,55,8.08,LR
320,Narsaq,60.9167,-46.05,35.82,few clouds,80,15,2.71,GL
321,Faridpur,23.6,89.8333,80.49,few clouds,79,20,5.48,BD
322,Ekibastuz,51.6667,75.3667,57.06,overcast clouds,43,100,11.25,KZ
323,Pisco,-13.7,-76.2167,62.65,mist,82,40,9.22,PE
324,Baiyin,36.5583,104.2081,52.99,overcast clouds,30,100,8.55,CN
325,Pleasanton,37.6624,-121.8747,85.26,clear sky,48,0,0.0,US
326,Tabas,33.5959,56.9244,70.45,clear sky,6,0,5.66,IR
327,Port Macquarie,-31.4333,152.9167,60.89,overcast clouds,90,100,10.18,AU
328,Rocha,-34.4833,-54.3333,65.16,clear sky,43,0,12.46,UY
329,San Patricio,28.017,-97.5169,81.07,overcast clouds,56,100,4.97,US
330,Souillac,-20.5167,57.5167,71.98,scattered clouds,73,40,14.97,MU
331,Rio Grande,-32.035,-52.0986,77.11,clear sky,58,0,15.35,BR
332,Caravelas,-17.7125,-39.2481,80.62,few clouds,69,16,13.67,BR
333,Valparaiso,-33.0393,-71.6273,77.23,clear sky,75,0,11.5,CL
334,Kaduna,10.5222,7.4383,70.86,moderate rain,91,32,4.63,NG
335,Ngunguru,-35.6167,174.5,53.71,few clouds,59,12,8.03,NZ
336,Umm Lajj,25.0213,37.2685,86.63,clear sky,54,0,5.99,SA
337,Carutapera,-1.195,-46.02,85.55,scattered clouds,60,45,10.16,BR
338,Rybnaya Sloboda,55.4613,50.1409,46.36,clear sky,89,6,14.32,RU
339,Mao,39.8885,4.2658,64.96,few clouds,100,20,6.91,ES
340,Mount Isa,-20.7333,139.5,71.37,light rain,94,98,5.75,AU
341,Urut,41.0714,44.3964,52.83,overcast clouds,90,100,3.65,AM
342,Ilulissat,69.2167,-51.1,28.42,broken clouds,86,75,0.0,GL
343,Ulaanbaatar,47.9077,106.8832,26.73,scattered clouds,68,40,11.18,MN
344,Tambilil,5.9622,124.6697,78.1,overcast clouds,86,100,4.07,PH
345,Port Augusta,-32.5,137.7667,50.49,few clouds,76,12,7.18,AU
346,Kilindoni,-7.9139,39.6668,76.59,scattered clouds,79,50,12.35,TZ
347,Santa Rosa,14.3122,121.1114,82.38,broken clouds,87,81,5.1,PH
348,Kodinsk,58.6881,99.1844,29.41,overcast clouds,93,100,4.0,RU
349,Burnie,-41.0667,145.9167,47.95,few clouds,78,13,10.18,AU
